Date,Time,Game,Result,Unnamed: 4,Spectators,Venue,home_goals,away_goals,home,away
,19:00:00,Frölunda HC  -  Brynäs IF,8 - 4,"(4-2, 2-1, 2-1)",12044,Scandinavium,8,4,Frölunda HC  ,  Brynäs IF
,19:00:00,Örebro HK  -  Luleå HF,3 - 2,"(0-2, 0-0, 3-0)",5384,Behrn Arena,3,2,Örebro HK  ,  Luleå HF
,19:00:00,Leksands IF  -  Djurgårdens IF,2 - 4,"(0-4, 0-0, 2-0)",5733,Tegera Arena,2,4,Leksands IF  ,  Djurgårdens IF
,19:00:00,Linköping HC  -  Rögle BK,5 - 1,"(1-1, 2-0, 2-0)",4727,Saab Arena,5,1,Linköping HC  ,  Rögle BK
2020-01-25,15:15:00,Frölunda HC  -  IF Malmö Redhawks,4 - 3,"(2-1, 1-2, 1-0)",12044,Scandinavium,4,3,Frölunda HC  ,  IF Malmö Redhawks
,15:15:00,Linköping HC  -  Färjestad BK,1 - 0,"(0-0, 1-0, 0-0)",8149,Saab Arena,1,0,Linköping HC  ,  Färjestad BK
,15:15:00,Rögle BK  -  HV 71,1 - 4,"(1-0, 0-1, 0-3)",5051,Catena Arena,1,4,Rögle BK  ,  HV 71
,18:00:00,Brynäs IF  -  Luleå HF,1 - 3,"(1-0, 0-1, 0-2)",7753,Monitor ERP Arena,1,3,Brynäs IF  ,  Luleå HF
,18:00:00,Djurgårdens IF  -  Örebro HK,4 - 1,"(1-0, 0-0, 3-1)",7331,"Hovet, Johanneshov",4,1,Djurgårdens IF  ,  Örebro HK
,18:00:00,Skellefteå AIK  -  IK Oskarshamn,3 - 5,"(2-1, 1-1, 0-3)",4410,Skellefteå Kraft Arena,3,5,Skellefteå AIK  ,  IK Oskarshamn
,18:00:00,Växjö Lakers HC  -  Leksands IF,5 - 1,"(1-1, 3-0, 1-0)",5388,Vida Arena,5,1,Växjö Lakers HC  ,  Leksands IF
2020-01-28,19:00:00,HV 71  -  Färjestad BK,8 - 4,"(2-1, 4-1, 2-2)",6422,Kinnarps Arena,8,4,HV 71  ,  Färjestad BK
,19:00:00,IF Malmö Redhawks  -  Brynäs IF,5 - 0,"(1-0, 0-0, 4-0)",5061,Malmö Arena,5,0,IF Malmö Redhawks  ,  Brynäs IF
2020-01-30,19:00:00,Djurgårdens IF  -  Frölunda HC,2 - 1,"(0-0, 2-0, 0-1)",7035,"Hovet, Johanneshov",2,1,Djurgårdens IF  ,  Frölunda HC
,19:00:00,Färjestad BK  -  Leksands IF,4 - 3,"(1-0, 2-1, 1-2)",7687,Löfbergs Arena,4,3,Färjestad BK  ,  Leksands IF
,19:00:00,Luleå HF  -  Växjö Lakers HC,5 - 1,"(3-0, 2-0, 0-1)",5085,Coop Norrbotten Arena,5,1,Luleå HF  ,  Växjö Lakers HC
,19:00:00,IF Malmö Redhawks  -  Skellefteå AIK,4 - 1,"(1-0, 2-0, 1-1)",5186,Malmö Arena,4,1,IF Malmö Redhawks  ,  Skellefteå AIK
,19:00:00,IK Oskarshamn  -  HV 71,1 - 3,"(1-1, 0-0, 0-2)",3231,Be-Ge Hockey Center,1,3,IK Oskarshamn  ,  HV 71
,19:00:00,Örebro HK  -  Brynäs IF,3 - 6,"(2-2, 0-3, 1-1)",5443,Behrn Arena,3,6,Örebro HK  ,  Brynäs IF
2020-02-01,15:15:00,IF Malmö Redhawks  -  Luleå HF,1 - 3,"(0-1, 1-1, 0-1)",12600,Malmö Arena,1,3,IF Malmö Redhawks  ,  Luleå HF
,15:15:00,Rögle BK  -  IK Oskarshamn,5 - 3,"(0-1, 2-1, 3-1)",4900,Catena Arena,5,3,Rögle BK  ,  IK Oskarshamn
,15:15:00,Skellefteå AIK  -  Linköping HC,3 - 2,"(0-0, 2-0, 1-2)",4735,Skellefteå Kraft Arena,3,2,Skellefteå AIK  ,  Linköping HC
,15:15:00,Leksands IF  -  Frölunda HC,2 - 4,"(0-0, 0-3, 2-1)",7298,Tegera Arena,2,4,Leksands IF  ,  Frölunda HC
,18:00:00,Brynäs IF  -  Djurgårdens IF,0 - 1,"(0-0, 0-0, 0-1)",7909,Monitor ERP Arena,0,1,Brynäs IF  ,  Djurgårdens IF
,18:00:00,Färjestad BK  -  Örebro HK,3 - 1,"(1-0, 0-1, 2-0)",8250,Löfbergs Arena,3,1,Färjestad BK  ,  Örebro HK
,18:00:00,HV 71  -  Växjö Lakers HC,5 - 0,"(1-0, 2-0, 2-0)",7000,Kinnarps Arena,5,0,HV 71  ,  Växjö Lakers HC
2020-02-11,19:00:00,Brynäs IF  -  HV 71,4 - 3,"(1-0, 0-2, 2-1, 0-0, 1-0)",5022,Monitor ERP Arena,4,3,Brynäs IF  ,  HV 71
,19:00:00,Djurgårdens IF  -  Färjestad BK,5 - 4,"(0-2, 2-1, 2-1, 0-0, 1-0)",7250,"Hovet, Johanneshov",5,4,Djurgårdens IF  ,  Färjestad BK
,19:00:00,Frölunda HC  -  Linköping HC,1 - 3,"(1-1, 0-1, 0-1)",9651,Scandinavium,1,3,Frölunda HC  ,  Linköping HC
,19:00:00,Örebro HK  -  IK Oskarshamn,4 - 2,"(0-1, 3-0, 1-1)",5012,Behrn Arena,4,2,Örebro HK  ,  IK Oskarshamn
,19:00:00,Skellefteå AIK  -  Luleå HF,4 - 1,"(1-0, 1-0, 2-1)",5576,Skellefteå Kraft Arena,4,1,Skellefteå AIK  ,  Luleå HF
,19:00:00,Leksands IF  -  IF Malmö Redhawks,2 - 3,"(1-1, 1-0, 0-2)",5060,Tegera Arena,2,3,Leksands IF  ,  IF Malmö Redhawks
,19:00:00,Växjö Lakers HC  -  Rögle BK,0 - 4,"(0-1, 0-1, 0-2)",4705,Vida Arena,0,4,Växjö Lakers HC  ,  Rögle BK
2020-02-13,19:00:00,Brynäs IF  -  Luleå HF,5 - 1,"(1-0, 1-0, 3-1)",5034,Monitor ERP Arena,5,1,Brynäs IF  ,  Luleå HF
,19:00:00,Djurgårdens IF  -  Växjö Lakers HC,4 - 1,"(1-0, 1-0, 2-1)",5693,"Hovet, Johanneshov",4,1,Djurgårdens IF  ,  Växjö Lakers HC
,19:00:00,Frölunda HC  -  Örebro HK,5 - 3,"(2-0, 2-1, 1-2)",11305,Scandinavium,5,3,Frölunda HC  ,  Örebro HK
,19:00:00,HV 71  -  Rögle BK,3 - 5,"(0-1, 2-2, 1-2)",6235,Kinnarps Arena,3,5,HV 71  ,  Rögle BK
,19:00:00,Linköping HC  -  Leksands IF,2 - 1,"(0-1, 2-0, 0-0)",6820,Saab Arena,2,1,Linköping HC  ,  Leksands IF
,19:00:00,IK Oskarshamn  -  IF Malmö Redhawks,3 - 4,"(0-1, 2-2, 1-0, 0-0, 0-1)",2913,Be-Ge Hockey Center,3,4,IK Oskarshamn  ,  IF Malmö Redhawks
2020-02-14,19:00:00,Färjestad BK  -  Skellefteå AIK,0 - 3,"(0-2, 0-0, 0-1)",7957,Löfbergs Arena,0,3,Färjestad BK  ,  Skellefteå AIK
2020-02-15,15:15:00,IK Oskarshamn  -  Växjö Lakers HC,3 - 5,"(0-2, 1-0, 2-3)",3275,Be-Ge Hockey Center,3,5,IK Oskarshamn  ,  Växjö Lakers HC
,15:15:00,Rögle BK  -  Frölunda HC,4 - 3,"(0-0, 2-0, 2-3)",5051,Catena Arena,4,3,Rögle BK  ,  Frölunda HC
,15:15:00,Leksands IF  -  Luleå HF,0 - 3,"(0-1, 0-1, 0-1)",6670,Tegera Arena,0,3,Leksands IF  ,  Luleå HF
,18:00:00,Linköping HC  -  HV 71,2 - 4,"(2-1, 0-1, 0-2)",8300,Saab Arena,2,4,Linköping HC  ,  HV 71
,18:00:00,IF Malmö Redhawks  -  Djurgårdens IF,5 - 1,"(1-1, 2-0, 2-0)",6234,Malmö Arena,5,1,IF Malmö Redhawks  ,  Djurgårdens IF
,18:00:00,Örebro HK  -  Skellefteå AIK,2 - 4,"(1-0, 0-1, 1-3)",5500,Behrn Arena,2,4,Örebro HK  ,  Skellefteå AIK
,20:00:00,Färjestad BK  -  Brynäs IF,5 - 2,"(0-0, 1-1, 4-1)",8111,Löfbergs Arena,5,2,Färjestad BK  ,  Brynäs IF
2020-02-18,19:00:00,Brynäs IF  -  Linköping HC,2 - 3,"(0-0, 1-0, 1-2, 0-1)",4495,Monitor ERP Arena,2,3,Brynäs IF  ,  Linköping HC
,19:00:00,Frölunda HC  -  IK Oskarshamn,5 - 1,"(2-0, 1-0, 2-1)",3852,Frölundaborg Isstadion,5,1,Frölunda HC  ,  IK Oskarshamn
,19:00:00,Luleå HF  -  IF Malmö Redhawks,4 - 3,"(1-0, 1-3, 2-0)",5037,Coop Norrbotten Arena,4,3,Luleå HF  ,  IF Malmö Redhawks
,19:00:00,Örebro HK  -  Färjestad BK,3 - 4,"(1-0, 0-1, 2-2, 0-1)",5500,Behrn Arena,3,4,Örebro HK  ,  Färjestad BK
,19:00:00,Skellefteå AIK  -  Djurgårdens IF,3 - 0,"(2-0, 1-0, 0-0)",4352,Skellefteå Kraft Arena,3,0,Skellefteå AIK  ,  Djurgårdens IF
,19:00:00,Leksands IF  -  Rögle BK,2 - 5,"(1-1, 1-1, 0-3)",4070,Tegera Arena,2,5,Leksands IF  ,  Rögle BK
,19:00:00,Växjö Lakers HC  -  HV 71,5 - 1,"(2-1, 3-0, 0-0)",5521,Vida Arena,5,1,Växjö Lakers HC  ,  HV 71
2020-02-20,19:00:00,Djurgårdens IF  -  Leksands IF,5 - 2,"(2-1, 2-1, 1-0)",7347,"Hovet, Johanneshov",5,2,Djurgårdens IF  ,  Leksands IF
,19:00:00,Färjestad BK  -  Frölunda HC,5 - 2,"(1-0, 2-1, 2-1)",7879,Löfbergs Arena,5,2,Färjestad BK  ,  Frölunda HC
,19:00:00,HV 71  -  Örebro HK,3 - 2,"(1-0, 0-1, 2-1)",6253,Kinnarps Arena,3,2,HV 71  ,  Örebro HK
,19:00:00,Linköping HC  -  Luleå HF,3 - 2,"(0-0, 1-1, 1-1, 1-0)",5363,Saab Arena,3,2,Linköping HC  ,  Luleå HF
,19:00:00,IK Oskarshamn  -  Skellefteå AIK,3 - 4,"(0-1, 1-1, 2-1, 0-1)",2868,Be-Ge Hockey Center,3,4,IK Oskarshamn  ,  Skellefteå AIK
,19:00:00,Rögle BK  -  Växjö Lakers HC,5 - 1,"(2-0, 0-1, 3-0)",5010,Catena Arena,5,1,Rögle BK  ,  Växjö Lakers HC
2020-02-22,15:15:00,Brynäs IF  -  Frölunda HC,4 - 2,"(1-1, 2-0, 1-1)",7556,Monitor ERP Arena,4,2,Brynäs IF  ,  Frölunda HC
,15:15:00,HV 71  -  IF Malmö Redhawks,3 - 2,"(0-0, 1-0, 2-2)",7000,Kinnarps Arena,3,2,HV 71  ,  IF Malmö Redhawks
,15:15:00,Luleå HF  -  Färjestad BK,4 - 1,"(1-0, 1-0, 2-1)",6056,Coop Norrbotten Arena,4,1,Luleå HF  ,  Färjestad BK
,18:00:00,Örebro HK  -  Djurgårdens IF,5 - 2,"(2-0, 1-1, 2-1)",5500,Behrn Arena,5,2,Örebro HK  ,  Djurgårdens IF
,18:00:00,Skellefteå AIK  -  Rögle BK,4 - 3,"(0-0, 2-2, 2-1)",5271,Skellefteå Kraft Arena,4,3,Skellefteå AIK  ,  Rögle BK
,18:00:00,Leksands IF  -  IK Oskarshamn,3 - 0,"(2-0, 1-0, 0-0)",5965,Tegera Arena,3,0,Leksands IF  ,  IK Oskarshamn
,18:00:00,Växjö Lakers HC  -  Linköping HC,2 - 1,"(1-0, 1-1, 0-0)",5009,Vida Arena,2,1,Växjö Lakers HC  ,  Linköping HC
2020-02-25,19:00:00,Djurgårdens IF  -  Brynäs IF,3 - 2,"(2-1, 0-0, 1-1)",7537,"Hovet, Johanneshov",3,2,Djurgårdens IF  ,  Brynäs IF
,19:00:00,Frölunda HC  -  Leksands IF,2 - 5,"(0-1, 1-1, 1-3)",9366,Scandinavium,2,5,Frölunda HC  ,  Leksands IF
,19:00:00,IF Malmö Redhawks  -  Linköping HC,3 - 4,"(1-2, 2-1, 0-0, 0-1)",4754,Malmö Arena,3,4,IF Malmö Redhawks  ,  Linköping HC
,19:00:00,IK Oskarshamn  -  Färjestad BK,3 - 4,"(1-2, 1-1, 1-0, 0-1)",2874,Be-Ge Hockey Center,3,4,IK Oskarshamn  ,  Färjestad BK
,19:00:00,Rögle BK  -  Örebro HK,3 - 0,"(0-0, 2-0, 1-0)",4801,Catena Arena,3,0,Rögle BK  ,  Örebro HK
,19:00:00,Skellefteå AIK  -  HV 71,2 - 1,"(0-0, 2-0, 0-1)",4191,Skellefteå Kraft Arena,2,1,Skellefteå AIK  ,  HV 71
,19:00:00,Växjö Lakers HC  -  Luleå HF,1 - 3,"(0-2, 0-0, 1-1)",4112,Vida Arena,1,3,Växjö Lakers HC  ,  Luleå HF
2020-02-27,19:00:00,Brynäs IF  -  Skellefteå AIK,3 - 5,"(3-1, 0-2, 0-2)",6189,Monitor ERP Arena,3,5,Brynäs IF  ,  Skellefteå AIK
,19:00:00,Färjestad BK  -  Rögle BK,3 - 2,"(0-0, 1-1, 2-1)",7987,Löfbergs Arena,3,2,Färjestad BK  ,  Rögle BK
,19:00:00,HV 71  -  Djurgårdens IF,7 - 1,"(1-0, 2-0, 4-1)",6393,Kinnarps Arena,7,1,HV 71  ,  Djurgårdens IF
,19:00:00,Linköping HC  -  Frölunda HC,1 - 2,"(1-0, 0-0, 0-1, 0-0, 0-1)",5815,Saab Arena,1,2,Linköping HC  ,  Frölunda HC
,19:00:00,Luleå HF  -  IK Oskarshamn,4 - 3,"(1-1, 1-1, 1-1, 1-0)",4704,Coop Norrbotten Arena,4,3,Luleå HF  ,  IK Oskarshamn
,19:00:00,Örebro HK  -  IF Malmö Redhawks,0 - 2,"(0-0, 0-1, 0-1)",5245,Behrn Arena,0,2,Örebro HK  ,  IF Malmö Redhawks
,19:00:00,Leksands IF  -  Växjö Lakers HC,4 - 1,"(1-1, 1-0, 2-0)",5787,Tegera Arena,4,1,Leksands IF  ,  Växjö Lakers HC
2020-02-29,15:15:00,Luleå HF  -  Frölunda HC,4 - 1,"(2-0, 1-0, 1-1)",5915,Coop Norrbotten Arena,4,1,Luleå HF  ,  Frölunda HC
,15:15:00,Djurgårdens IF  -  IK Oskarshamn,5 - 4,"(2-2, 2-1, 1-1)",7702,"Hovet, Johanneshov",5,4,Djurgårdens IF  ,  IK Oskarshamn
,15:15:00,IF Malmö Redhawks  -  Färjestad BK,3 - 1,"(1-1, 1-0, 1-0)",7689,Malmö Arena,3,1,IF Malmö Redhawks  ,  Färjestad BK
,18:00:00,HV 71  -  Brynäs IF,5 - 6,"(0-1, 4-2, 1-2, 0-1)",7000,Kinnarps Arena,5,6,HV 71  ,  Brynäs IF
,18:00:00,Rögle BK  -  Linköping HC,3 - 2,"(1-0, 1-1, 0-1, 0-0, 1-0)",5051,Catena Arena,3,2,Rögle BK  ,  Linköping HC
,18:00:00,Skellefteå AIK  -  Leksands IF,8 - 2,"(3-2, 3-0, 2-0)",5064,Skellefteå Kraft Arena,8,2,Skellefteå AIK  ,  Leksands IF
,18:00:00,Växjö Lakers HC  -  Örebro HK,4 - 1,"(0-1, 2-0, 2-0)",4472,Vida Arena,4,1,Växjö Lakers HC  ,  Örebro HK
2020-03-03,19:00:00,Brynäs IF  -  Växjö Lakers HC,0 - 1,"(0-0, 0-1, 0-0)",5667,Monitor ERP Arena,0,1,Brynäs IF  ,  Växjö Lakers HC
,19:00:00,Färjestad BK  -  HV 71,1 - 2,"(0-2, 0-0, 1-0)",7448,Löfbergs Arena,1,2,Färjestad BK  ,  HV 71
,19:00:00,Frölunda HC  -  Skellefteå AIK,1 - 0,"(1-0, 0-0, 0-0)",10433,Scandinavium,1,0,Frölunda HC  ,  Skellefteå AIK
,19:00:00,Linköping HC  -  Djurgårdens IF,2 - 3,"(0-0, 1-2, 1-0, 0-1)",6061,Saab Arena,2,3,Linköping HC  ,  Djurgårdens IF
,19:00:00,Luleå HF  -  Rögle BK,3 - 0,"(0-0, 2-0, 1-0)",5440,Coop Norrbotten Arena,3,0,Luleå HF  ,  Rögle BK
,19:00:00,IF Malmö Redhawks  -  Leksands IF,3 - 2,"(1-2, 0-0, 1-0, 0-0, 1-0)",5229,Malmö Arena,3,2,IF Malmö Redhawks  ,  Leksands IF
,19:00:00,IK Oskarshamn  -  Örebro HK,1 - 2,"(0-1, 0-0, 1-0, 0-0, 0-1)",2843,Be-Ge Hockey Center,1,2,IK Oskarshamn  ,  Örebro HK
2020-03-05,19:00:00,Djurgårdens IF  -  Luleå HF,3 - 2,"(0-0, 1-1, 1-1, 1-0)",6993,"Hovet, Johanneshov",3,2,Djurgårdens IF  ,  Luleå HF
,19:00:00,HV 71  -  IK Oskarshamn,5 - 3,"(2-2, 1-1, 2-0)",6123,Kinnarps Arena,5,3,HV 71  ,  IK Oskarshamn
,19:00:00,Örebro HK  -  Linköping HC,3 - 0,"(1-0, 0-0, 2-0)",5143,Behrn Arena,3,0,Örebro HK  ,  Linköping HC
,19:00:00,Rögle BK  -  Brynäs IF,6 - 4,"(2-1, 3-1, 1-2)",5000,Catena Arena,6,4,Rögle BK  ,  Brynäs IF
,19:00:00,Skellefteå AIK  -  IF Malmö Redhawks,3 - 0,"(0-0, 0-0, 3-0)",4501,Skellefteå Kraft Arena,3,0,Skellefteå AIK  ,  IF Malmö Redhawks
,19:00:00,Leksands IF  -  Färjestad BK,1 - 2,"(1-1, 0-0, 0-0, 0-1)",5198,Tegera Arena,1,2,Leksands IF  ,  Färjestad BK
,19:00:00,Växjö Lakers HC  -  Frölunda HC,3 - 2,"(0-0, 2-0, 1-2)",4600,Vida Arena,3,2,Växjö Lakers HC  ,  Frölunda HC
2020-03-07,15:15:00,Brynäs IF  -  Leksands IF,5 - 4,"(0-1, 2-2, 2-1, 0-0, 1-0)",7909,Monitor ERP Arena,5,4,Brynäs IF  ,  Leksands IF
,15:15:00,Frölunda HC  -  HV 71,3 - 4,"(0-0, 1-1, 2-2, 0-0, 0-1)",12044,Scandinavium,3,4,Frölunda HC  ,  HV 71
,15:15:00,Linköping HC  -  Skellefteå AIK,4 - 3,"(2-2, 2-0, 0-1)",8067,Saab Arena,4,3,Linköping HC  ,  Skellefteå AIK
,15:15:00,IF Malmö Redhawks  -  Växjö Lakers HC,5 - 4,"(2-0, 0-1, 3-3)",7170,Malmö Arena,5,4,IF Malmö Redhawks  ,  Växjö Lakers HC
,18:00:00,Färjestad BK  -  Djurgårdens IF,4 - 1,"(2-1, 1-0, 1-0)",8250,Löfbergs Arena,4,1,Färjestad BK  ,  Djurgårdens IF
,18:00:00,Luleå HF  -  Örebro HK,3 - 2,"(1-0, 0-1, 1-1, 1-0)",5289,Coop Norrbotten Arena,3,2,Luleå HF  ,  Örebro HK
,18:00:00,IK Oskarshamn  -  Rögle BK,1 - 2,"(0-1, 1-1, 0-0)",3091,Be-Ge Hockey Center,1,2,IK Oskarshamn  ,  Rögle BK
2020-03-10,19:00:00,Djurgårdens IF  -  Rögle BK,3 - 2,"(2-1, 1-1, 0-0)",6470,"Hovet, Johanneshov",3,2,Djurgårdens IF  ,  Rögle BK
,19:00:00,Färjestad BK  -  Linköping HC,2 - 4,"(1-1, 0-2, 1-1)",7423,Löfbergs Arena,2,4,Färjestad BK  ,  Linköping HC
,19:00:00,HV 71  -  Luleå HF,2 - 1,"(1-0, 0-0, 1-1)",6718,Kinnarps Arena,2,1,HV 71  ,  Luleå HF
,19:00:00,IF Malmö Redhawks  -  Frölunda HC,0 - 3,"(0-1, 0-0, 0-2)",5889,Malmö Arena,0,3,IF Malmö Redhawks  ,  Frölunda HC
,19:00:00,IK Oskarshamn  -  Brynäs IF,5 - 4,"(1-2, 4-0, 0-2)",2966,Be-Ge Hockey Center,5,4,IK Oskarshamn  ,  Brynäs IF
,19:00:00,Örebro HK  -  Leksands IF,4 - 0,"(1-0, 1-0, 2-0)",5414,Behrn Arena,4,0,Örebro HK  ,  Leksands IF
,19:00:00,Skellefteå AIK  -  Växjö Lakers HC,2 - 3,"(1-1, 0-1, 1-0, 0-0, 0-1)",4070,Skellefteå Kraft Arena,2,3,Skellefteå AIK  ,  Växjö Lakers HC
2020-03-12,19:00:00,Brynäs IF  -  Örebro HK,1 - 6,"(0-1, 0-2, 1-3)",0,Monitor ERP Arena,1,6,Brynäs IF  ,  Örebro HK
,19:00:00,Frölunda HC  -  Djurgårdens IF,3 - 2,"(2-0, 0-0, 0-2, 1-0)",0,Scandinavium,3,2,Frölunda HC  ,  Djurgårdens IF
,19:00:00,Linköping HC  -  IK Oskarshamn,3 - 1,"(1-0, 0-0, 2-1)",0,Saab Arena,3,1,Linköping HC  ,  IK Oskarshamn
,19:00:00,Luleå HF  -  Skellefteå AIK,3 - 0,"(0-0, 2-0, 1-0)",0,Coop Norrbotten Arena,3,0,Luleå HF  ,  Skellefteå AIK
,19:00:00,Rögle BK  -  IF Malmö Redhawks,5 - 2,"(0-2, 2-0, 3-0)",0,Catena Arena,5,2,Rögle BK  ,  IF Malmö Redhawks
,19:00:00,Leksands IF  -  HV 71,5 - 2,"(0-1, 3-1, 2-0)",0,Tegera Arena,5,2,Leksands IF  ,  HV 71
,19:00:00,Växjö Lakers HC  -  Färjestad BK,4 - 7,"(0-4, 2-2, 2-1)",0,Vida Arena,4,7,Växjö Lakers HC  ,  Färjestad BK
